ADC, 69, "immediate"   , 2, 2
ADC, 65, "zeropage"    , 2, 3
ADC, 75, "zeropage,X"  , 2, 4
ADC, 6D, "absolute"    , 3, 4
ADC, 7D, "absolute,X"  , 3, 4*
ADC, 79, "absolute,Y"  , 3, 4*
ADC, 61, "(indirect,X)", 2, 6
ADC, 71, "(indirect),Y", 2, 5*
AND, 29, "immediate"   , 2, 2
AND, 25, "zeropage"    , 2, 3
AND, 35, "zeropage,X"  , 2, 4
AND, 2D, "absolute"    , 3, 4
AND, 3D, "absolute,X"  , 3, 4*
AND, 39, "absolute,Y"  , 3, 4*
AND, 21, "(indirect,X)", 2, 6
AND, 31, "(indirect),Y", 2, 5*
ASL, 0A, "accumulator" , 1, 2
ASL, 06, "zeropage"    , 2, 5
ASL, 16, "zeropage,X"  , 2, 6
ASL, 0E, "absolute"    , 3, 6
ASL, 1E, "absolute,X"  , 3, 7
BCC, 90, "relative"    , 2, 2**
BCS, B0, "relative"    , 2, 2**
BEQ, F0, "relative"    , 2, 2**
BIT, 24, "zeropage"    , 2, 3
BIT, 2C, "absolute"    , 3, 4
BMI, 30, "relative"    , 2, 2**
BNE, D0, "relative"    , 2, 2**
BPL, 10, "relative"    , 2, 2**
BRK, 00, "implied"     , 1, 7
BVC, 50, "relative"    , 2, 2**
BVS, 70, "relative"    , 2, 2**
CLC, 18, "implied"     , 1, 2
CLD, D8, "implied"     , 1, 2
CLI, 58, "implied"     , 1, 2
CLV, B8, "implied"     , 1, 2
CMP, C9, "immediate"   , 2, 2
CMP, C5, "zeropage"    , 2, 3
CMP, D5, "zeropage,X"  , 2, 4
CMP, CD, "absolute"    , 3, 4
CMP, DD, "absolute,X"  , 3, 4*
CMP, D9, "absolute,Y"  , 3, 4*
CMP, C1, "(indirect,X)", 2, 6
CMP, D1, "(indirect),Y", 2, 5*
CPX, E0, "immediate"   , 2, 2
CPX, E4, "zeropage"    , 2, 3
CPX, EC, "absolute"    , 3, 4
CPY, C0, "immediate"   , 2, 2
CPY, C4, "zeropage"    , 2, 3
CPY, CC, "absolute"    , 3, 4
DEC, C6, "zeropage"    , 2, 5
DEC, D6, "zeropage,X"  , 2, 6
DEC, CE, "absolute"    , 3, 6
DEC, DE, "absolute,X"  , 3, 7
DEX, CA, "implied"     , 1, 2
DEY, 88, "implied"     , 1, 2
EOR, 49, "immediate"   , 2, 2
EOR, 45, "zeropage"    , 2, 3
EOR, 55, "zeropage,X"  , 2, 4
EOR, 4D, "absolute"    , 3, 4
