BRK,00,implied,1,7
ORA,01,"(indirect,X)",2,6
ORA,05,zeropage,2,3
ASL,06,zeropage,2,5
PHP,08,implied,1,3
ORA,09,immediate,2,2
ASL,0A,accumulator,1,2
ORA,0D,absolute,3,4
ASL,0E,absolute,3,6
BPL,10,relative,2,2**
ORA,11,"(indirect),Y",2,5*
ORA,15,"zeropage,X",2,4
ASL,16,"zeropage,X",2,6
CLC,18,implied,1,2
ORA,19,"absolute,Y",3,4*
ORA,1D,"absolute,X",3,4*
ASL,1E,"absolute,X",3,7
JSR,20,absolute,3,6
AND,21,"(indirect,X)",2,6
BIT,24,zeropage,2,3
AND,25,zeropage,2,3
ROL,26,zeropage,2,5
PLP,28,implied,1,4
AND,29,immediate,2,2
ROL,2A,accumulator,1,2
BIT,2C,absolute,3,4
AND,2D,absolute,3,4
ROL,2E,absolute,3,6
BMI,30,relative,2,2**
AND,31,"(indirect),Y",2,5*
AND,35,"zeropage,X",2,4
ROL,36,"zeropage,X",2,6
SEC,38,implied,1,2
AND,39,"absolute,Y",3,4*
AND,3D,"absolute,X",3,4*
ROL,3E,"absolute,X",3,7
RTI,40,implied,1,6
EOR,41,"(indirect,X)",2,6
EOR,45,zeropage,2,3
LSR,46,zeropage,2,5
PHA,48,implied,1,3
EOR,49,immediate,2,2
LSR,4A,accumulator,1,2
JMP,4C,absolute,3,3
EOR,4D,absolute,3,4
LSR,4E,absolute,3,6
BVC,50,relative,2,2**
EOR,51,"(indirect),Y",2,5*
EOR,55,"zeropage,X",2,4
LSR,56,"zeropage,X",2,6
CLI,58,implied,1,2
EOR,59,"absolute,Y",3,4*
EOR,5D,"absolute,X",3,4*
LSR,5E,"absolute,X",3,7
RTS,60,implied,1,6
ADC,61,"(indirect,X)",2,6
ADC,65,zeropage,2,3
ROR,66,zeropage,2,5
PLA,68,implied,1,4
ADC,69,immediate,2,2
ROR,6A,accumulator,1,2
JMP,6C,indirect,3,5***
ADC,6D,absolute,3,4
ROR,6E,absolute,3,6
BVS,70,relative,2,2**
ADC,71,"(indirect),Y",2,5*
ADC,75,"zeropage,X",2,4
ROR,76,"zeropage,X",2,6
SEI,78,implied,1,2
ADC,79,"absolute,Y",3,4*
ADC,7D,"absolute,X",3,4*
ROR,7E,"absolute,X",3,7
STA,81,"(indirect,X)",2,6
STY,84,zeropage,2,3
STA,85,zeropage,2,3
STX,86,zeropage,2,3
DEY,88,implied,1,2
TXA,8A,implied,1,2
STY,8C,absolute,3,4
STA,8D,absolute,3,4
STX,8E,absolute,3,4
BCC,90,relative,2,2**
STA,91,"(indirect),Y",2,6
STY,94,"zeropage,X",2,4
STA,95,"zeropage,X",2,4
STX,96,"zeropage,Y",2,4
TYA,98,implied,1,2
STA,99,"absolute,Y",3,5
TXS,9A,implied,1,2
STA,9D,"absolute,X",3,5
LDY,A0,immediate,2,2
LDA,A1,"(indirect,X)",2,6
LDX,A2,immediate,2,2
LDY,A4,zeropage,2,3
LDA,A5,zeropage,2,3
LDX,A6,zeropage,2,3
TAY,A8,implied,1,2
LDA,A9,immediate,2,2
TAX,AA,implied,1,2
LDY,AC,absolute,3,4
LDA,AD,absolute,3,4
LDX,AE,absolute,3,4
BCS,B0,relative,2,2**
LDA,B1,"(indirect),Y",2,5*
LDY,B4,"zeropage,X",2,4
LDA,B5,"zeropage,X",2,4
LDX,B6,"zeropage,Y",2,4
CLV,B8,implied,1,2
LDA,B9,"absolute,Y",3,4*
TSX,BA,implied,1,2
LDY,BC,"absolute,X",3,4*
LDA,BD,"absolute,X",3,4*
LDX,BE,"absolute,Y",3,4*
CPY,C0,immediate,2,2
CMP,C1,"(indirect,X)",2,6
CPY,C4,zeropage,2,3
CMP,C5,zeropage,2,3
DEC,C6,zeropage,2,5
INY,C8,implied,1,2
CMP,C9,immediate,2,2
DEX,CA,implied,1,2
CPY,CC,absolute,3,4
CMP,CD,absolute,3,4
DEC,CE,absolute,3,6
BNE,D0,relative,2,2**
CMP,D1,"(indirect),Y",2,5*
CMP,D5,"zeropage,X",2,4
DEC,D6,"zeropage,X",2,6
CLD,D8,implied,1,2
CMP,D9,"absolute,Y",3,4*
CMP,DD,"absolute,X",3,4*
DEC,DE,"absolute,X",3,7
CPX,E0,immediate,2,2
SBC,E1,"(indirect,X)",2,6
CPX,E4,zeropage,2,3
SBC,E5,zeropage,2,3
INC,E6,zeropage,2,5
INX,E8,implied,1,2
SBC,E9,immediate,2,2
NOP,EA,implied,1,2
CPX,EC,absolute,3,4
SBC,ED,absolute,3,4
INC,EE,absolute,3,6
BEQ,F0,relative,2,2**
SBC,F1,"(indirect),Y",2,5*
SBC,F5,"zeropage,X",2,4
INC,F6,"zeropage,X",2,6
SED,F8,implied,1,2
SBC,F9,"absolute,Y",3,4*
SBC,FD,"absolute,X",3,4*
INC,FE,"absolute,X",3,7
